LightValue,TempVal,Classifier
107,56.13,off
109,56.71,off
108,56.71,off
105,57.29,off
104,55.55,off
104,56.13,off
106,55.98,off
105,56.13,off
107,55.55,off
108,56.27,off
109,55.55,off
105,57.29,off
106,57.87,off
111,56.56,off
105,55.55,off
108,57.29,off
106,55.55,off
108,56.13,off
107,57.58,off
107,55.84,off
106,57.43,off
106,55.98,off
106,55.84,off
104,56.13,off
104,55.55,off
109,56.13,off
107,54.97,off
107,56.56,off
106,57.14,off
110,56.71,off
110,57.87,off
106,57.72,off
107,56.13,off
106,55.98,off
105,56.71,off
105,57,off
108,57.72,off
106,56.42,off
109,57.87,off
106,55.55,off
105,56.13,off
109,55.11,off
110,56.42,off
110,57.87,off
106,56.13,off
106,56.13,off
105,56.71,off
110,56.13,off
106,56.13,off
106,56.56,off
103,56.13,off
105,56.71,off
107,54.97,off
107,55.55,off
107,56.71,off
106,55.55,off
105,55.98,off
105,56.71,off
108,54.82,off
106,57.72,off
106,56.27,off
110,56.27,off
107,57.58,off
106,56.27,off
106,56.71,off
111,56.71,off
106,57.43,off
106,57.87,off
109,55.98,off
105,56.13,off
104,55.4,off
105,56.71,off
103,55.4,off
112,55.55,off
105,55.55,off
105,56.13,off
105,55.4,off
107,56.71,off
104,54.97,off
104,53.8,off
108,54.82,off
108,57,off
106,56.13,off
106,55.98,off
105,55.55,off
104,56.13,off
101,55.55,off
108,56.71,off
105,55.26,off
109,56.13,off
105,56.42,off
105,56.56,off
105,55.55,off
109,56.71,off
105,57.29,off
107,57.72,off
108,55.84,off
110,57.14,off
106,57.14,off
106,57.29,off
105,56.71,off
109,59.3,off
105,55.55,off
105,56.56,off
104,56.13,off
106,57.14,off
107,55.11,off
108,57.43,off
108,56.13,off
108,56.56,off
106,55.55,off
107,58.45,off
106,56.42,off
107,56.71,off
110,56.13,off
107,56.56,off
106,55.55,off
112,56.56,off
104,55.98,off
105,55.11,off
108,56.71,off
111,56.71,off
106,56.27,off
109,56.42,off
109,57.72,off
111,56.13,off
106,57.72,off
105,57.43,off
104,55.55,off
109,55.84,off
110,57.72,off
106,55.98,off
105,55.55,off
111,56.56,off
104,56.13,off
107,55.55,off
107,55.55,off
111,56.13,off
106,56.42,off
105,57.29,off
108,54.24,off
109,56.13,off
105,55.55,off
106,57.87,off
106,55.55,off
110,57,off
106,55.98,off
105,56.13,off
105,55.4,off
105,55.84,off
104,56.13,off
108,55.4,off
108,55.4,off
108,55.55,off
106,55.55,off
105,57.43,off
109,56.13,off
113,56.13,off
107,57.29,off
107,58.45,off
108,55.98,off
110,55.4,off
108,57.72,off
108,57.29,off
105,56.13,off
107,57.29,off
104,56.71,off
104,56.13,off
105,56.13,off
109,56.13,off
105,56.13,off
105,56.27,off
104,56.13,off
104,55.55,off
107,56.56,off
108,57.43,off
106,56.27,off
109,55.98,off
107,56.42,off
106,56.27,off
106,56.13,off
110,57.72,off
107,55.55,off
110,55.98,off
104,57.14,off
107,56.71,off
106,55.55,off
106,56.13,off
108,55.4,off
110,56.13,off
108,57.87,off
105,57.29,off
105,55.98,off
106,56.56,off
106,55.55,off
108,57.87,off
106,56.56,off
109,56.56,off
107,55.4,off
105,56.13,off
109,55.84,off
110,59.75,off
106,56.27,off
107,57.43,off
106,57.87,off
107,56.13,off
106,56.56,off
105,59.61,off
103,54.97,off
105,55.55,off
105,56.13,off
106,56.56,off
108,55.55,off
106,55.55,off
105,55.98,off
110,56.27,off
107,57.87,off
110,55.98,off
108,55.4,off
103,57.29,off
106,56.71,off
108,56.27,off
105,57.43,off
106,57.58,off
108,55.55,off
106,57.29,off
104,56.71,off
107,56.27,off
108,56.71,off
108,56.42,off
104,55.55,off
105,55.55,off
107,55.84,off
107,56.13,off
107,55.55,off
106,55.55,off
107,56.71,off
110,57.14,off
110,56.13,off
106,57.29,off
103,55.55,off
108,56.13,off
105,57.72,off
108,56.71,off
105,55.55,off
108,56.13,off
108,54.1,off
109,56.42,off
105,55.55,off
108,56.13,off
105,55.98,off
107,56.71,off
109,55.55,off
108,56.71,off
109,57.58,off
105,57.58,off
106,56.13,off
106,55.4,off
105,57.58,off
105,56.13,off
107,56.71,off
109,56.13,off
106,56.13,off
104,55.4,off
106,55.55,off
110,56.71,off
105,56.42,off
105,57.58,off
104,55.55,off
106,55.98,off
106,55.98,off
106,57.72,off
106,56.56,off
106,56.13,off
106,55.98,off
105,56.56,off
106,56.71,off
108,56.13,off
105,55.4,off
107,55.55,off
105,55.98,off
108,56.56,off
106,56.27,off
106,57.72,off
110,57.14,off
107,56.42,off
106,57.87,off
104,57.72,off
106,55.98,off
107,56.71,off
105,57.14,off
104,57,off
106,56.71,off
110,56.27,off
107,56.71,off
104,55.55,off
106,55.55,off
108,56.13,off
106,55.55,off
107,56.13,off
104,55.98,off
109,56.71,off
106,55.55,off
105,54.1,off
104,56.13,off
108,56.56,off
106,55.98,off
105,56.13,off
106,56.13,off
114,55.4,off
106,56.56,off
105,55.55,off
108,55.55,off
105,55.98,off
107,55.26,off
108,57.58,off
107,55.98,off
108,56.13,off
105,57.29,off
106,57.72,off
107,56.71,off
106,56.56,off
108,56.56,off
105,57.29,off
104,56.71,off
105,56.71,off
107,57.43,off
104,55.55,off
108,54.24,off
109,56.71,off
109,56.42,off
105,57.14,off
103,55.55,off
108,56.71,off
105,55.4,off
108,57.58,off
106,55.55,off
108,57.29,off
106,57.43,off
105,56.27,off
109,55.26,off
105,56.56,off
104,56.13,off
106,54.97,off
107,56.13,off
104,56.85,off
105,55.26,off
105,57.29,off
105,59.3,off
110,56.13,off
105,57.29,off
106,57.43,off
104,55.55,off
106,57.29,off
108,56.71,off
106,55.98,off
107,56.13,off
110,56.71,off
105,57.29,off
105,56.27,off
105,55.84,off
107,56.27,off
105,55.55,off
109,57.29,off
106,55.55,off
107,56.27,off
106,57.29,off
106,56.56,off
105,55.55,off
105,55.98,off
105,55.55,off
104,55.98,off
109,56.71,off
106,56.56,off
107,56.42,off
106,56.56,off
106,55.55,off
114,58.1,off
107,55.26,off
105,56.42,off
105,56.56,off
107,55.55,off
105,57.58,off
105,56.42,off
105,56.13,off
106,57.58,off
105,57.58,off
107,57.29,off
112,56.13,off
108,56.56,off
110,54.82,off
106,54.82,off
107,55.55,off
108,56.71,off
103,54.39,off
105,57.58,off
106,56.71,off
106,55.84,off
108,56.56,off
106,57.29,off
105,55.55,off
108,54.39,off
106,56.13,off
107,56.13,off
104,56.13,off
107,57.29,off
107,55.55,off
106,56.27,off
108,57.72,off
109,56.13,off
106,55.55,off
105,57,off
108,56.56,off
107,56.71,off
106,57.14,off
106,57.72,off
106,56.56,off
109,57.29,off
106,57.87,off
107,54.39,off
110,56.71,off
110,57.58,off
106,56.27,off
107,56.71,off
106,56.71,off
106,57.87,off
106,54.82,off
103,56.13,off
105,54.97,off
108,56.71,off
105,55.4,off
105,57.58,off
105,55.26,off
106,55.55,off
105,55.98,off
104,54.97,off
107,56.42,off
106,56.27,off
106,56.71,off
106,55.4,off
110,56.85,off
107,55.55,off
106,54.82,off
107,57.72,off
106,55.55,off
108,55.55,off
105,57.29,off
104,57.58,off
106,55.55,off
104,55.84,off
110,57,off
107,56.13,off
106,57.29,off
105,56.13,off
100,56.71,off
107,55.4,off
107,55.55,off
105,56.13,off
105,55.55,off
108,56.13,off
105,55.55,off
104,56.56,off
108,56.13,off
105,55.55,off
109,55.55,off
106,55.98,off
107,56.13,off
108,55.55,off
105,56.56,off
106,56.56,off
108,55.98,off
105,54.39,off
106,56.13,off
104,56.71,off
105,55.26,off
102,57.29,off
105,55.55,off
111,56.56,off
107,57.87,off
109,57.29,off
105,54.97,off
108,56.13,off
106,57.14,off
109,55.26,off
105,57.29,off
109,56.13,off
105,57.72,off
107,56.56,off
107,55.98,off
106,53.81,off
106,54.97,off
106,57.58,off
106,56.71,off
105,56.13,off
109,55.26,off
108,56.27,off
106,55.55,off
108,55.98,off
106,55.55,off
107,56.42,off
105,55.98,off
106,56.27,off
107,56.27,off
107,56.42,off
106,56.27,off
110,57.29,off
106,54.82,off
108,57.72,off
105,55.55,off
105,55.98,off
104,57.58,off
106,56.71,off
107,56.27,off
106,57.29,off
109,57.72,off
107,56.71,off
103,55.55,off
108,56.13,off
107,56.13,off
101,55.55,off
106,56.71,off
109,57.14,off
107,56.27,off
105,57.43,off
108,57.72,off
105,56.13,off
105,56.13,off
107,55.98,off
106,56.27,off
107,55.98,off
106,56.13,off
104,56.13,off
106,55.55,off
106,55.98,off
105,55.55,off
105,56.13,off
103,55.11,off
106,55.55,off
106,56.13,off
104,56.71,off
108,55.84,off
110,57.58,off
106,57.72,off
104,57.87,off
106,56.13,off
107,56.71,off
106,57.14,off
106,57.14,off
106,57.29,off
109,56.71,off
105,56.71,off
105,57.14,off
103,55.55,off
105,56.42,off
103,54.97,off
104,57.29,off
108,56.56,off
107,56.13,off
106,56.71,off
106,55.55,off
106,56.42,off
110,56.71,off
110,56.71,off
106,55.98,off
108,56.13,off
108,56.56,off
105,54.39,off
105,55.55,off
107,55.84,off
107,56.27,off
106,54.68,off
106,57.72,off
107,56.27,off
106,55.98,off
109,57.72,off
104,56.56,off
105,56.13,off
105,56.71,off
105,57.29,off
109,57.43,off
108,56.71,off
107,56.71,off
105,54.39,off
105,56.13,off
108,55.98,off
110,55.4,off
106,56.71,off
106,56.71,off
107,56.71,off
110,56.56,off
107,55.55,off
106,55.55,off
106,55.55,off
104,55.55,off
106,56.56,off
103,55.98,off
108,54.39,off
105,56.42,off
104,55.4,off
105,54.82,off
106,57.87,off
110,54.97,off
105,55.84,off
106,55.11,off
106,55.55,off
110,56.56,off
106,54.82,off
105,55.98,off
104,55.55,off
106,55.55,off
108,57.58,off
105,57.58,off
106,57.58,off
108,54.97,off
108,55.55,off
106,55.84,off
106,55.55,off
110,55.55,off
108,56.71,off
107,54.97,off
105,55.4,off
108,55.55,off
105,52.93,off
104,57.14,off
107,56.71,off
105,56.13,off
105,56.13,off
108,54.97,off
107,55.55,off
110,56.71,off
108,56.42,off
110,56.71,off
108,56.71,off
107,56.71,off
106,54.39,off
111,58.1,off
108,55.55,off
109,56.42,off
101,56.71,off
105,57.87,off
103,56.13,off
105,56.13,off
105,57.29,off
108,57.14,off
107,56.71,off
109,56.71,off
107,55.98,off
106,56.56,off
106,56.13,off
110,56.13,off
108,56.13,off
108,57.29,off
104,55.98,off
108,56.42,off
105,55.26,off
105,57.87,off
107,55.55,off
107,56.42,off
109,57.29,off
106,56.71,off
106,56.27,off
110,56.56,off
106,55.4,off
